t,n,x,y,yaw_deg
4.1,11,0.0,0.0,0.0
6.1,21,0.0,0.0,-0.0
8.1,34,0.0,0.0,-0.0
10.2,47,0.0,0.0,0.0
12.2,60,0.0,-0.0,0.0
14.2,74,0.0,0.0,-0.0
16.3,92,0.0,0.0,-0.0
18.3,110,0.0,0.0,-0.0
20.3,119,0.0,0.0,-0.0
22.3,125,0.0,-0.0,0.0
24.3,140,0.0,0.0,-0.0
26.3,152,0.0,0.0,-0.0
28.3,163,0.0,0.0,-0.0
30.3,177,0.0,0.0,-0.0
32.4,188,0.0,0.0,-0.0
34.4,202,0.0,0.0,-0.0
36.4,215,0.0,-0.0,-0.0
38.4,227,0.0,0.0,-0.0
40.5,240,0.0,0.0,-0.0
42.5,253,0.0,0.0,-0.0
44.5,266,0.0,0.0,0.0
46.6,279,0.0,0.0,-0.0
48.6,291,0.0,0.0,-0.0
50.6,305,0.0,0.0,-0.0
52.6,317,0.0,-0.0,-0.0
54.7,333,0.0,0.0,-0.0
56.7,346,0.0,0.0,-0.0
58.7,362,0.0,0.0,-0.0
60.7,376,0.0,0.0,-0.0
62.8,387,0.0,0.0,-0.0
64.8,396,0.0,0.0,-0.0
66.8,412,0.0,0.0,-0.0
68.8,420,0.0,0.0,-0.0
70.9,434,0.0,0.0,0.0
72.9,449,0.0,0.0,-0.0
74.9,464,0.0,0.0,-0.0
76.9,478,0.0,0.0,-0.0
78.9,489,0.0,0.0,-0.0
81.0,502,0.0,0.0,-0.0
83.0,517,0.0,0.0,-0.0
85.0,528,0.0,0.0,-0.0
87.0,538,0.0,0.0,0.0
89.1,554,0.0,0.0,-0.0
91.1,568,0.0,0.0,-0.0
93.1,583,0.0,0.0,0.0
95.1,594,0.0,0.0,0.0
97.2,610,0.0,0.0,-0.0
99.2,625,0.0,0.0,-0.0
101.2,639,0.0,0.0,-0.0
103.2,646,0.0,0.0,-0.1
105.3,663,0.0,0.0,-0.0
107.3,677,0.0,-0.0,0.0
109.3,689,0.0,0.0,-0.0
111.3,702,-0.0,0.0,-0.0
113.3,716,-0.0,0.0,-0.0
115.4,727,0.0,0.0,-0.0
117.4,743,0.0,0.0,-0.0
119.4,753,0.0,0.0,-0.0
121.4,763,0.0,0.0,-0.0
123.5,772,0.0,0.0,-0.0
125.5,786,0.0,0.0,-0.0
127.5,795,0.0,0.0,0.0
129.6,807,0.0,0.0,-0.0
131.6,818,0.0,0.0,-0.0
133.6,828,0.0,0.0,-0.0
135.6,838,0.0,0.0,-0.0
137.6,851,0.0,0.0,-0.0
139.7,859,0.0,0.0,-0.0
141.7,873,0.0,0.0,-0.0
143.7,885,0.0,0.0,0.0
145.7,898,0.0,0.0,-0.0
147.7,909,0.0,0.0,-0.0
149.8,923,0.0,0.0,-0.0
151.8,933,0.0,0.0,-0.0
153.8,945,0.05,-0.0,0.1
155.8,956,0.35,0.02,-0.2
157.9,965,0.62,0.02,-0.2
159.9,976,0.9,0.03,-0.5
161.9,987,1.2,0.03,-0.2
163.9,994,1.42,0.05,8.5
165.9,1005,1.69,0.09,8.1
167.9,1014,1.9,0.13,7.8
169.9,1025,2.26,0.19,-0.3
172.0,1035,2.57,0.25,-12.1
174.0,1046,2.8,0.29,-15.8
176.0,1054,3.07,0.27,-26.4
178.1,1065,3.14,0.22,-49.7
180.1,1075,3.26,0.13,-45.2
281.6,1076,3.31,0.06,-52.5
