t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,tf_map_ok,tf_rslidar_ok,icp_fail_n
0.959,0.001783,-0.001278,0.001228,-0.012,0.9692,8.973,5.379,1287,1,1,0
1.831,0.002496,0.000336,0.001248,-0.001,0.9683,9.695,6.105,1287,1,1,0
2.729,0.001380,-0.000559,-0.000062,0.002,0.9723,15.540,7.029,1287,1,1,0
3.843,0.002779,0.000897,0.000030,-0.012,0.9756,18.247,6.518,1287,1,1,0
4.936,0.003143,-0.000811,-0.000132,0.023,0.9713,9.950,7.777,1287,1,1,0
5.939,0.002154,-0.000061,0.000312,-0.011,0.9741,10.009,7.870,1287,1,1,0
6.982,0.001028,0.000506,-0.000081,-0.024,0.9688,15.928,6.775,1287,1,1,0
7.931,0.000331,0.001648,0.000023,-0.008,0.9755,9.914,6.904,1287,1,1,0
8.938,0.001224,0.001499,0.000907,-0.020,0.9744,10.009,6.811,1287,1,1,0
9.939,0.001163,0.001280,-0.000232,-0.010,0.9772,9.922,7.044,1287,1,1,0
10.931,0.001704,0.000751,0.000025,-0.015,0.9711,13.823,6.878,1287,1,1,0
11.836,0.000632,0.001229,0.000988,-0.043,0.9832,14.654,6.199,1287,1,1,0
12.966,0.000966,0.001092,-0.000296,-0.045,0.9863,18.611,6.186,1287,1,1,0
13.952,0.001550,0.001226,0.000003,-0.029,0.9742,8.523,6.823,1287,1,1,0
14.841,0.002008,0.000353,0.001576,-0.023,0.9668,19.116,7.627,1287,1,1,0
15.928,0.002170,-0.000010,-0.000609,0.014,0.9759,12.298,7.258,1287,1,1,0
16.645,0.000948,-0.000585,0.001012,-0.021,0.9663,9.992,7.809,1287,1,1,0
17.954,0.000992,0.000027,0.000633,-0.015,0.9622,16.542,4.714,1287,1,1,0
18.923,0.001916,-0.000555,0.000235,0.027,0.9663,9.956,6.283,1287,1,1,0
19.934,0.002201,0.001099,-0.000389,-0.026,0.9712,15.903,5.290,1287,1,1,0
20.963,0.001905,0.000763,0.001379,-0.064,0.9687,10.057,4.156,1287,1,1,0
