t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,grid_hz,localmap_n,tf_map_ok,tf_rslidar_ok,icp_fail_n
1.002,-0.049897,-0.009463,0.002869,-0.261,0.9824,12.931,5.092,10.481,1133,0,1,0
1.822,-0.047687,-0.006736,0.002656,-0.134,0.8182,9.836,2.951,7.098,1133,0,1,0
2.608,-0.048405,-0.008105,0.002323,-0.161,0.8207,6.149,3.574,4.995,1133,1,1,0
3.945,-0.050539,-0.010023,0.004451,-0.267,0.9869,25.550,2.647,5.093,1133,1,1,0
4.899,-0.050227,-0.009947,0.001169,-0.228,0.9951,14.482,3.259,4.983,1133,1,1,0
5.890,-0.049329,-0.011558,0.001249,-0.215,0.9870,16.593,4.737,4.931,1133,1,1,0
7.005,-0.047655,-0.010835,0.002158,-0.152,0.7700,21.276,4.435,4.966,1133,1,1,0
7.908,-0.048934,-0.011595,0.002219,-0.274,0.9469,11.478,5.349,5.008,1133,1,1,0
8.906,-0.049747,-0.012123,0.001422,-0.226,0.9772,16.296,4.962,4.928,1133,1,1,0
10.011,-0.047288,-0.009862,0.002704,-0.140,0.7699,25.258,3.879,4.984,1133,1,1,0
10.938,-0.049213,-0.010968,0.002200,-0.199,0.9821,10.060,5.573,5.023,1133,1,1,0
11.843,-0.049945,-0.010927,0.001751,-0.211,0.9475,17.243,6.624,5.025,1133,1,1,0
13.015,-0.049128,-0.011551,0.001554,-0.138,0.6468,18.593,6.083,4.997,1133,1,1,0
13.959,-0.046598,-0.012187,0.002155,-0.107,0.7219,14.529,4.691,5.049,1133,1,1,0
14.887,-0.047624,-0.011443,0.003035,-0.117,0.7286,16.450,4.378,4.914,1133,1,1,0
16.017,-0.049331,-0.009217,0.001338,-0.158,0.7274,20.072,4.990,5.001,1133,1,1,0
16.936,-0.048205,-0.009399,0.001465,-0.156,0.8188,9.663,4.992,4.958,1133,1,1,0
17.989,-0.047408,-0.006606,0.001128,-0.184,0.8426,16.392,3.898,4.997,1133,1,1,0
18.999,-0.048504,-0.008454,0.001612,-0.229,0.9887,19.596,4.821,4.933,1133,1,1,0
19.986,-0.049166,-0.007719,0.001996,-0.150,0.7749,16.847,5.312,4.984,1133,1,1,0
20.995,-0.049654,-0.008163,0.000373,-0.252,0.9967,16.385,5.444,5.049,1133,1,1,0
21.689,-0.049612,-0.009437,0.001753,-0.235,0.9902,16.447,5.459,5.153,1133,1,1,0
22.904,-0.048788,-0.006947,0.002642,-0.268,0.9773,16.311,5.443,5.081,1133,1,1,0
23.607,-0.050046,-0.008866,0.002582,-0.267,0.9805,16.059,5.324,5.030,1133,1,1,0
24.990,-0.047467,-0.012127,0.000165,-0.235,0.9918,15.861,4.756,4.990,1133,1,1,0
25.789,-0.047811,-0.012674,0.001800,-0.198,0.9711,18.813,6.697,4.954,1133,1,1,0
26.934,-0.046948,-0.007995,0.002589,-0.139,0.8244,9.963,5.777,5.026,1133,1,1,0
27.896,-0.050044,-0.009868,0.001944,-0.280,0.9919,15.345,4.875,5.068,1133,1,1,0
28.985,-0.048167,-0.008712,0.002883,-0.303,0.9758,14.879,4.914,5.013,1133,1,1,0
29.829,-0.047480,-0.008810,0.001343,-0.146,0.7426,18.466,3.484,5.033,1133,1,1,0
30.934,-0.048458,-0.010352,0.001366,-0.165,0.6163,12.821,3.104,4.817,1133,1,1,0
32.000,-0.047471,-0.011902,0.000409,-0.095,0.7537,16.650,4.735,4.996,1133,1,1,0
32.994,-0.050339,-0.009966,0.001813,-0.261,0.9884,16.934,3.778,5.031,1133,1,1,0
34.003,-0.048681,-0.010717,0.000795,-0.168,0.9787,18.342,3.889,4.995,1133,1,1,0
34.833,-0.047237,-0.009026,0.001082,-0.144,0.6919,16.920,4.270,4.990,1133,1,1,0
35.923,-0.047924,-0.010429,0.002545,-0.139,0.7856,16.661,4.279,4.952,1133,1,1,0
36.996,-0.047294,-0.012016,0.000208,-0.094,0.6944,19.264,5.077,5.057,1133,1,1,0
37.994,-0.048888,-0.008861,0.001523,-0.245,0.9818,15.513,6.890,5.020,1133,1,1,0
38.818,-0.048744,-0.007898,0.000331,-0.102,0.7344,17.227,5.884,5.048,1133,1,1,0
39.924,-0.048274,-0.006912,0.001307,-0.177,0.8358,18.459,4.649,4.959,1133,1,1,0
40.787,-0.049016,-0.007100,-0.000094,-0.225,0.9950,15.801,4.167,4.956,1133,1,1,0
41.983,-0.051072,-0.008322,0.000021,-0.269,0.9918,15.886,4.208,4.988,1133,1,1,0
42.998,-0.047903,-0.011647,0.000351,-0.207,0.9730,19.221,7.079,4.991,1133,1,1,0
43.994,-0.046892,-0.011216,0.001313,-0.222,0.9917,15.378,4.733,5.026,1133,1,1,0
44.685,-0.047256,-0.009886,0.000640,-0.153,0.7842,17.420,4.574,5.043,1133,1,1,0
45.797,-0.049793,-0.010648,0.001961,-0.235,0.9950,16.959,2.932,4.983,1133,1,1,0
46.909,-0.049550,-0.011535,0.000416,-0.123,0.7184,17.624,2.382,5.025,1133,1,1,0
48.018,-0.047300,-0.013045,0.001184,-0.122,0.7801,18.209,4.989,4.957,1133,1,1,0
48.805,-0.046444,-0.011525,0.001660,-0.259,0.9854,17.042,5.335,4.971,1133,1,1,0
49.432,-0.047309,-0.011390,0.001995,-0.251,0.9251,16.984,2.230,5.070,1133,1,1,0
50.793,-0.046644,-0.008748,0.000870,-0.205,0.9453,15.877,3.672,4.968,1133,1,1,0
51.964,-0.046354,-0.009672,0.001589,-0.148,0.8096,18.781,5.784,5.022,1133,1,1,0
53.021,-0.047814,-0.009539,0.000740,-0.142,0.8063,14.273,5.109,4.982,1133,1,1,0
53.725,-0.049063,-0.008475,0.000292,-0.171,0.8447,17.898,3.691,5.088,1133,1,1,0
54.902,-0.049406,-0.009553,0.000375,-0.239,0.9798,17.315,3.311,5.001,1133,1,1,0
55.974,-0.046180,-0.009320,-0.000062,-0.087,0.7232,19.192,4.492,4.925,1133,1,1,0
56.992,-0.048733,-0.008402,0.000560,-0.175,0.9802,17.676,5.333,5.029,1133,1,1,0
58.023,-0.045741,-0.008693,0.001196,-0.147,0.7512,16.990,4.410,4.972,1133,1,1,0
58.803,-0.050692,-0.006028,0.001472,-0.132,0.9677,16.051,3.218,5.002,1133,1,1,0
59.994,-0.049247,-0.006741,-0.000549,-0.216,0.9705,18.782,4.782,5.003,1133,1,1,0
61.023,-0.047493,-0.008149,0.002790,-0.137,0.8146,17.499,4.850,5.140,1133,1,1,0
62.007,-0.049328,-0.010348,0.000937,-0.133,0.9073,15.537,5.101,4.974,1133,1,1,0
63.003,-0.051603,-0.010118,0.003696,-0.156,0.9611,17.928,2.764,4.999,1133,1,1,0
64.001,-0.050231,-0.008459,0.002913,-0.157,0.9757,20.203,5.041,4.953,1133,1,1,0
64.993,-0.049561,-0.007975,0.001708,-0.187,0.9713,15.442,5.292,4.975,1133,1,1,0
65.804,-0.047030,-0.006778,0.002423,-0.124,0.7638,14.375,4.212,5.081,1133,1,1,0
66.991,0.031646,-0.011998,-0.001798,0.001,0.9740,18.313,5.281,5.015,1133,1,1,0
67.794,0.144898,-0.009956,0.009338,-0.086,0.9534,16.589,6.172,5.102,1133,1,1,0
68.917,0.327424,-0.002225,0.009249,-0.200,0.7778,17.362,5.233,4.978,1133,1,1,0
69.697,0.452009,-0.003743,-0.001338,-0.312,0.9830,17.775,4.972,5.014,1133,1,1,0
70.840,0.622404,0.001713,0.007558,-0.340,0.9616,9.750,4.449,5.004,1133,1,1,0
71.552,0.712902,0.005904,0.011222,-0.245,0.7683,15.838,2.662,5.007,1133,1,1,0
73.027,0.982393,0.023464,0.007201,-0.518,0.8556,21.269,5.423,4.985,1133,1,1,0
73.925,1.129655,0.026964,0.008082,-0.550,0.8479,13.946,6.717,4.969,1133,1,1,0
75.006,1.319439,0.015720,0.007693,-0.544,0.8451,16.818,5.784,5.010,1133,1,1,0
76.003,1.467839,0.018256,0.006310,-0.836,0.8510,17.845,6.796,5.022,1133,1,1,0
76.898,1.583996,0.020244,0.011341,-0.910,0.9903,16.220,6.138,5.056,1133,1,1,0
77.988,1.752418,0.036966,0.009589,-1.307,0.9643,15.596,5.692,4.936,1489,1,1,0
78.903,1.895232,0.047470,0.008589,-1.698,0.9702,18.672,5.455,4.970,1489,1,1,0
79.999,2.050184,0.065453,0.007512,-2.396,0.8696,16.627,6.319,5.019,1489,1,1,0
80.443,2.126971,0.060472,0.006445,-2.016,0.8555,16.475,7.470,4.976,1489,1,1,0
81.807,2.329565,0.058366,0.013224,-2.724,0.8265,17.578,3.550,5.015,1489,1,1,0
82.477,2.431861,0.062001,0.012268,-3.242,0.8182,13.049,5.234,5.033,1489,1,1,0
84.000,2.535127,0.094269,0.012011,-6.982,0.8208,12.109,4.210,5.073,1489,1,1,0
84.894,2.594910,0.135774,0.008676,-19.540,0.8363,12.492,5.643,5.124,1489,1,1,0
85.895,2.657004,0.184347,0.005937,-21.192,0.9604,12.961,6.252,5.035,1489,1,1,0
86.686,2.765312,0.171555,0.009399,-22.565,0.9333,14.037,5.117,5.103,1489,1,1,0
87.962,2.924586,0.099192,-0.000510,-30.832,0.7487,26.617,2.156,5.010,1489,1,1,0
88.798,2.987942,0.083140,0.005184,-43.599,0.6242,12.321,5.975,5.002,1489,1,1,0
