t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
0.672,-1.181901,0.706301,-0.000105,16.143,0.5152,7.080,0.000,1704,86400,0,0.003,0
1.074,-1.181901,0.706301,-0.000105,16.143,0.5152,11.167,0.000,1704,82656,0,0.405,0
1.499,-1.181901,0.706301,-0.000105,16.143,0.5152,10.631,0.000,1704,86400,0,0.830,0
1.943,-1.181901,0.706301,-0.000105,16.143,0.5152,8.445,0.000,1704,86400,0,1.274,0
2.349,-1.181901,0.706301,-0.000105,16.143,0.5152,19.153,0.000,1704,86400,1,1.680,0
2.754,-1.181901,0.706301,-0.000105,16.143,0.5152,16.369,0.000,1704,86400,1,2.085,0
3.194,-1.181901,0.706301,-0.000105,16.143,0.5152,10.001,0.000,1704,82656,1,2.525,0
3.596,-1.181901,0.706301,-0.000105,16.143,0.5152,15.089,0.000,1704,86400,1,2.927,0
4.002,-1.181901,0.706301,-0.000105,16.143,0.5152,18.312,0.000,1704,86400,1,3.333,0
4.421,-1.181901,0.706301,-0.000105,16.143,0.5152,10.082,0.000,1704,86400,1,3.752,0
4.845,-1.181901,0.706301,-0.000105,16.143,0.5152,14.997,0.000,1704,86400,1,4.176,0
5.246,-1.181901,0.706301,-0.000105,16.143,0.5152,15.046,0.000,1704,86400,1,4.577,0
5.693,-1.181901,0.706301,-0.000105,16.143,0.5152,17.536,0.000,1704,86400,1,5.024,0
6.115,-1.181901,0.706301,-0.000105,16.143,0.5152,15.296,0.000,1704,86400,1,5.446,0
6.521,-1.181901,0.706301,-0.000105,16.143,0.5152,18.042,0.000,1704,86400,1,5.852,0
6.925,-1.181901,0.706301,-0.000105,16.143,0.5152,17.552,0.000,1704,86400,1,6.256,0
7.334,-1.181901,0.706301,-0.000105,16.143,0.5152,15.209,0.000,1704,86400,1,6.665,0
7.742,-1.181901,0.706301,-0.000105,16.143,0.5152,18.691,0.000,1704,86400,1,7.073,0
8.149,-1.181901,0.706301,-0.000105,16.143,0.5152,18.231,0.000,1704,86400,1,7.480,0
8.591,-1.181901,0.706301,-0.000105,16.143,0.5152,15.842,0.000,1704,86400,1,7.922,0
9.016,-1.181901,0.706301,-0.000105,16.143,0.5152,13.551,0.000,1704,82656,1,8.346,0
9.440,-1.181901,0.706301,-0.000105,16.143,0.5152,13.368,0.000,1704,86400,1,8.771,0
9.850,-1.181901,0.706301,-0.000105,16.143,0.5152,15.300,0.000,1704,86400,1,9.181,0
10.259,-1.181901,0.706301,-0.000105,16.143,0.5152,15.512,0.000,1704,86400,1,9.590,0
10.676,-1.181901,0.706301,-0.000105,16.143,0.5152,19.396,0.000,1704,86400,1,10.006,0
11.093,-1.181901,0.706301,-0.000105,16.143,0.5152,20.533,0.000,1704,86304,1,10.424,0
11.494,-1.181901,0.706301,-0.000105,16.143,0.5152,21.702,0.000,1704,86400,1,10.825,0
11.919,-1.181901,0.706301,-0.000105,16.143,0.5152,16.550,0.000,1704,86304,1,11.249,0
12.336,-1.181901,0.706301,-0.000105,16.143,0.5152,18.224,0.000,1704,82656,1,11.667,0
