t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
0.027,0.002297,-0.000228,-0.000375,0.016,,0.000,0.000,,,0,0.002,0
0.440,0.002588,-0.001408,-0.001711,0.009,0.9854,0.000,4.926,1747,,1,0.211,0
0.868,0.003164,-0.002077,-0.001284,0.032,0.9852,0.000,4.791,1747,,1,0.217,0
1.270,0.003692,-0.002353,-0.001409,0.033,0.9844,116.175,3.902,1747,86304,1,0.220,0
1.676,0.003598,-0.001845,-0.001232,0.007,0.9876,18.296,3.724,1747,86400,1,0.040,0
2.076,0.002799,-0.000506,-0.000648,0.013,0.9887,22.997,3.765,1747,82656,1,0.254,0
2.512,0.003281,0.000547,-0.001096,-0.015,0.9899,20.405,3.344,1747,86400,1,0.066,0
2.927,0.003384,0.000336,-0.000372,0.001,0.9889,18.823,3.963,1747,86304,1,0.110,0
3.330,0.002417,0.000095,-0.000447,0.020,0.9821,15.765,4.751,1747,86400,1,0.103,0
3.763,0.002285,-0.000466,-0.002060,0.006,0.9865,17.796,4.946,1747,86400,1,0.324,0
4.163,0.002118,-0.000983,-0.000979,0.016,0.9820,11.089,5.298,1747,86400,1,0.124,0
4.568,0.003152,-0.001422,-0.002739,0.012,0.9867,10.990,5.448,1747,86400,1,0.015,0
4.970,0.001689,-0.000512,-0.000103,0.013,0.9843,12.938,5.457,1747,86400,1,0.095,0
5.398,0.001821,-0.001425,-0.002018,0.013,0.9812,13.964,6.093,1747,86400,1,0.153,0
5.798,0.002208,0.000353,-0.001274,0.007,0.9865,11.754,6.875,1747,86400,1,0.070,0
6.209,0.002719,-0.000710,0.000402,0.021,0.9810,19.973,7.254,1747,86400,1,0.189,0
6.611,0.002863,-0.001448,-0.001014,0.013,0.9812,20.650,6.080,1747,86400,1,0.179,0
7.020,0.002831,-0.001161,-0.000537,0.020,0.9853,15.568,5.690,1747,82656,1,0.195,0
7.449,0.003523,-0.001142,-0.001948,0.020,0.9878,15.860,5.590,1747,86400,1,0.124,0
7.897,0.003523,-0.001142,-0.001948,0.020,0.9878,13.009,5.041,1747,86304,1,0.571,0
8.313,0.003055,-0.001434,-0.001213,0.006,0.9888,12.525,3.504,1747,82656,1,0.168,0
8.729,0.003957,-0.002631,-0.000973,0.029,0.9899,14.727,3.283,1747,86400,1,0.077,0
9.150,0.003181,-0.002102,-0.001409,0.014,0.9821,18.278,4.103,1747,86400,1,0.215,0
9.550,0.002513,-0.000463,-0.000856,0.015,0.9787,13.863,6.445,1747,86400,1,0.009,0
9.971,0.002592,-0.001759,-0.000726,0.021,0.9920,12.570,6.119,1747,86304,1,0.029,0
10.375,0.002715,-0.001966,-0.001264,0.032,0.9831,18.366,6.925,1747,86400,1,0.195,0
10.790,0.003736,-0.001828,-0.001655,0.030,0.9854,14.385,6.445,1747,86400,1,0.064,0
11.196,0.002755,-0.001028,-0.000247,0.007,0.9911,14.491,5.737,1747,86400,1,0.040,0
11.602,0.003167,-0.001329,-0.000820,0.025,0.9853,21.190,6.075,1747,86400,1,0.079,0
12.004,0.002369,-0.000340,-0.000977,0.007,0.9775,21.727,5.891,1747,82656,1,0.279,0
12.412,0.002557,-0.000924,-0.001142,-0.002,0.9832,17.898,5.349,1747,86400,1,0.178,0
12.818,0.002172,-0.000775,-0.000147,0.020,0.9845,18.500,5.290,1747,86400,1,0.089,0
13.221,0.001799,-0.001044,-0.001121,0.009,0.9839,17.367,5.545,1747,86400,1,0.164,0
13.626,0.002490,-0.001459,-0.001731,0.008,0.9897,15.077,5.289,1747,86400,1,0.101,0
14.029,0.001761,-0.001148,-0.000687,0.011,0.9530,12.643,7.245,1747,82656,1,0.001,0
14.429,0.001713,0.000152,-0.001498,-0.010,0.9843,17.369,7.018,1747,86400,1,0.093,0
14.830,0.002724,-0.000073,-0.000411,0.004,0.9910,17.115,7.782,1747,86400,1,0.102,0
15.236,0.001684,-0.000525,-0.001634,0.012,0.9920,15.018,7.987,1747,86400,1,0.283,0
15.662,0.002160,-0.001247,-0.000455,0.010,0.9830,13.967,7.353,1747,86304,1,0.307,0
16.064,0.002160,-0.001247,-0.000455,0.010,0.9830,18.716,7.849,1747,86304,1,0.709,0
16.474,0.001337,-0.000777,-0.001367,0.019,0.9874,13.162,4.172,1747,86400,1,0.029,0
16.874,0.003433,-0.001310,-0.000439,0.015,0.9886,12.380,3.740,1747,86400,1,0.049,0
17.293,0.003314,-0.001546,-0.001950,0.017,0.9754,17.792,3.209,1747,86400,1,0.067,0
17.701,0.002764,-0.001523,-0.001194,0.001,0.9830,16.520,5.388,1747,86400,1,0.078,0
18.102,0.003435,-0.001522,-0.000543,0.011,0.9874,19.936,6.324,1747,86400,1,0.066,0
18.512,0.003763,-0.000643,-0.001131,0.004,0.9886,22.061,6.364,1747,86400,1,0.086,0
18.914,0.003527,-0.000272,-0.000306,0.007,0.9875,19.162,8.087,1747,86400,1,0.081,0
19.317,0.003086,-0.002366,-0.001293,0.038,0.9886,14.376,7.242,1747,86400,1,0.063,0
19.718,0.002237,-0.001007,-0.001229,0.011,0.9899,20.871,7.636,1747,86400,1,0.279,0
20.164,0.003140,-0.000700,0.000049,0.001,0.9854,13.162,6.146,1747,86400,1,0.212,0
20.567,0.003044,0.000617,-0.000969,-0.005,0.9877,14.929,5.295,1747,86400,1,0.242,0
20.969,0.002687,-0.000113,-0.001157,0.003,0.9863,19.435,4.359,1747,86304,1,0.223,0
21.371,0.002825,-0.000914,-0.000795,0.017,0.9800,20.000,3.919,1747,86400,1,0.146,0
21.774,0.002825,-0.000914,-0.000795,0.017,0.9800,16.251,4.711,1747,86400,1,0.549,0
22.191,0.002139,-0.000802,0.000031,0.026,0.9887,16.179,3.751,1747,82656,1,0.350,0
