t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n,wheel_x,wheel_y,wheel_yaw_deg
2.110,-0.001096,0.003918,-0.000322,-0.037,,12.999,0.000,,86400,1,0.001,0,0.000000,0.000000,0.000
2.515,-0.001021,0.004213,-0.000729,-0.024,0.9840,13.714,7.426,1244,86400,1,0.136,0,0.000000,0.000000,0.000
2.935,-0.001134,0.004084,-0.001133,-0.051,0.9919,13.990,5.210,1244,86400,1,0.057,0,0.000000,0.000000,0.000
3.335,-0.001978,0.002921,-0.000300,-0.019,0.9805,14.494,6.736,1244,86304,1,0.038,0,0.000000,0.000000,0.000
3.736,-0.001334,0.002959,-0.000921,-0.046,0.9791,15.846,7.453,1244,86400,1,0.150,0,0.000000,0.000000,0.000
4.137,-0.001703,0.002457,0.000105,-0.027,0.9935,16.727,7.228,1244,86400,1,0.031,0,0.000000,0.000000,0.000
4.537,-0.001509,0.002975,0.000147,-0.050,0.9889,17.336,7.451,1244,86400,1,0.246,0,0.000000,0.000000,0.000
4.938,-0.001037,0.004434,0.000006,-0.077,0.9918,17.801,6.684,1244,86400,1,0.150,0,0.000000,0.000000,0.000
5.356,-0.001863,0.004524,0.000545,-0.059,0.9839,16.773,5.326,1244,86304,1,0.072,0,0.000000,0.000000,0.000
5.759,-0.002001,0.003799,-0.000516,-0.024,0.9935,15.709,4.757,1244,86400,1,0.071,0,0.000000,0.000000,0.000
6.161,-0.001711,0.003355,0.000198,-0.042,0.9935,14.724,4.439,1244,86400,1,0.068,0,0.000000,0.000000,0.000
6.569,-0.002302,0.002297,-0.001251,-0.023,0.9870,14.540,5.591,1244,86400,1,0.271,0,0.000000,0.000000,0.000
6.977,-0.001131,0.003203,0.000178,-0.006,0.9869,15.319,5.757,1244,86400,1,0.079,0,0.000000,0.000000,0.000
7.388,-0.001256,0.003845,-0.000261,-0.031,0.9856,15.286,7.302,1244,82560,1,0.299,0,0.000000,0.000000,0.000
7.788,-0.001037,0.004237,-0.001343,-0.071,0.9804,16.188,6.148,1244,86400,1,0.176,0,0.000000,0.000000,0.000
8.189,-0.001699,0.003976,-0.000853,-0.053,0.9887,16.250,5.213,1244,86400,1,0.077,0,0.000000,0.000000,0.000
8.592,-0.002759,0.004696,0.000443,-0.065,0.9839,16.283,4.736,1244,86400,1,0.007,0,0.000000,0.000000,0.000
